time-millis,l_reel_enc,r_reel_enc,d_l,d_r
1580939075413,0,0,0.0,0.0
1580939075653,0,0,0.0,0.0
1580939075682,0,0,0.0,0.0
1580939075713,0,0,0.0,0.0
1580939075953,0,0,0.0,0.0
1580939075983,0,0,0.0,0.0
1580939076252,0,0,0.0,0.0
1580939076283,0,0,0.0,0.0
1580939076313,0,0,0.0,0.0
1580939076552,0,0,0.0,0.0
1580939076883,0,0,0.0,0.0
1580939076913,0,0,0.0,0.0
1580939076943,0,0,0.0,0.0
1580939076972,0,0,0.0,0.0
1580939077003,0,0,0.0,0.0
1580939077182,0,0,0.0,0.0
1580939077212,0,0,0.0,0.0
1580939077243,0,0,0.0,0.0
1580939077272,0,0,0.0,0.0
1580939077453,0,0,0.0,0.0
1580939077783,0,0,0.0,0.0
1580939077813,0,0,0.0,0.0
1580939077843,0,0,0.0,0.0
1580939078113,0,0,0.0,0.0
1580939078143,0,0,0.0,0.0
1580939078172,0,0,0.0,0.0
1580939078413,0,0,0.0,0.0
1580939078442,0,0,0.0,0.0
1580939078472,0,0,0.0,0.0
1580939078713,0,0,0.0,0.0
1580939078743,0,0,0.0,0.0
1580939079013,0,0,0.0,0.0
1580939079042,0,0,0.0,0.0
1580939079073,0,0,0.0,0.0
1580939079342,0,0,0.0,0.0
1580939079373,0,0,0.0,0.0
1580939079403,0,0,0.0,0.0
1580939079642,0,0,0.0,0.0
1580939079673,0,0,0.0,0.0
1580939079703,0,0,0.0,0.0
1580939079943,0,0,0.0,0.0
1580939079973,0,0,0.0,0.0
1580939080002,0,0,0.0,0.0
1580939080243,0,0,0.0,0.0
1580939080273,0,0,0.0,0.0
1580939080573,0,0,0.0,0.0
1580939080603,0,0,0.0,0.0
1580939080633,0,0,0.0,0.0
1580939080873,0,0,0.0,0.0
1580939080902,0,0,0.0,0.0
1580939081173,0,0,0.0,0.0
1580939081203,0,0,0.0,0.0
1580939081233,0,0,0.0,0.0
1580939081263,0,0,0.0,0.0
1580939081472,0,0,0.0,0.0
1580939081503,0,0,0.0,0.0
1580939081773,0,0,0.0,0.0
1580939081803,0,0,0.0,0.0
1580939081832,0,0,0.0,0.0
1580939082102,0,0,0.0,0.0
1580939082132,0,0,0.0,0.0
1580939082162,0,0,0.0,0.0
1580939082402,0,0,0.0,0.0
1580939082433,0,0,0.0,0.0
1580939082463,0,0,0.0,0.0
1580939082703,0,0,0.0,0.0
1580939082733,0,0,0.0,0.0
1580939082763,0,0,0.0,0.0
1580939083003,0,0,0.0,0.0
1580939083033,0,0,0.0,0.0
1580939083333,0,0,0.0,0.0
1580939083363,0,0,0.0,0.0
1580939083392,0,0,0.0,0.0
1580939083632,0,0,0.0,0.0
1580939083663,0,0,0.0,0.0
1580939083693,0,0,0.0,0.0
1580939083933,0,0,0.0,0.0
1580939083963,0,0,0.0,0.0
1580939084232,0,0,0.0,0.0
1580939084263,0,0,0.0,0.0
1580939084563,0,0,0.0,0.0
1580939084592,0,0,0.0,0.0
1580939084623,0,0,0.0,0.0
1580939084862,0,0,0.0,0.0
1580939084893,0,0,0.0,0.0
1580939084923,0,0,0.0,0.0
1580939085163,0,0,0.0,0.0
1580939085193,0,0,0.0,0.0
1580939085223,0,0,0.0,0.0
1580939085462,0,0,0.0,0.0
1580939085492,0,0,0.0,0.0
1580939085522,0,0,0.0,0.0
1580939085793,0,0,0.0,0.0
1580939085823,0,0,0.0,0.0
1580939086093,0,0,0.0,0.0
1580939086123,0,0,0.0,0.0
1580939086153,0,0,0.0,0.0
1580939086393,0,0,0.0,0.0
1580939086423,0,0,0.0,0.0
1580939086453,0,0,0.0,0.0
1580939086693,0,0,0.0,0.0
1580939086723,0,0,0.0,0.0
1580939086752,0,0,0.0,0.0
1580939087023,0,0,0.0,0.0
1580939087053,0,0,0.0,0.0
1580939087323,0,0,0.0,0.0
1580939087352,0,0,0.0,0.0
1580939087383,0,0,0.0,0.0
1580939087623,0,0,0.0,0.0
1580939087652,0,0,0.0,0.0
1580939087683,0,0,0.0,0.0
1580939087923,0,0,0.0,0.0
1580939087953,0,0,0.0,0.0
1580939087982,0,0,0.0,0.0
1580939088253,0,0,0.0,0.0
1580939088283,0,0,0.0,0.0
1580939088312,0,5,0.0,0.014195344582887215
1580939088343,0,13,0.0,0.03690789591550676
1580939088433,0,22,0.0,0.062459516164703736
1580939088943,0,31,0.0,0.08801113641390072
1580939088973,0,33,0.0,0.09368927424705562
1580939089002,0,33,0.0,0.09368927424705562
1580939089152,0,33,0.0,0.09368927424705562
1580939089183,0,33,0.0,0.09368927424705562
1580939089213,0,40,0.0,0.11356275666309772
1580939089483,0,51,0.0,0.14479251474544957
1580939089513,0,62,0.0,0.17602227282780145
1580939089543,0,70,0.0,0.198734824160421
1580939089783,0,70,0.0,0.198734824160421
1580939089813,0,70,0.0,0.198734824160421
1580939090083,0,70,0.0,0.198734824160421
1580939090113,0,70,0.0,0.198734824160421
1580939090143,0,70,0.0,0.198734824160421
1580939090383,0,70,0.0,0.198734824160421
1580939090413,0,70,0.0,0.198734824160421
1580939090443,0,70,0.0,0.198734824160421
1580939090683,0,70,0.0,0.198734824160421
1580939090713,0,70,0.0,0.198734824160421
1580939090743,0,70,0.0,0.198734824160421
1580939091013,0,70,0.0,0.198734824160421
1580939091042,0,70,0.0,0.198734824160421
1580939091073,0,70,0.0,0.198734824160421
1580939091313,0,70,0.0,0.198734824160421
1580939091343,0,70,0.0,0.198734824160421
1580939091613,0,70,0.0,0.198734824160421
1580939091642,0,70,0.0,0.198734824160421
1580939091673,0,70,0.0,0.198734824160421
1580939091912,0,70,0.0,0.198734824160421
1580939091943,0,70,0.0,0.198734824160421
1580939091972,0,70,0.0,0.198734824160421
1580939092243,0,70,0.0,0.198734824160421
1580939092273,0,70,0.0,0.198734824160421
1580939092303,0,70,0.0,0.198734824160421
1580939092543,0,70,0.0,0.198734824160421
1580939092573,0,70,0.0,0.198734824160421
1580939092842,0,70,0.0,0.198734824160421
1580939092872,0,70,0.0,0.198734824160421
1580939092903,0,70,0.0,0.198734824160421
1580939093142,0,70,0.0,0.198734824160421
1580939093173,0,70,0.0,0.198734824160421
1580939093203,0,70,0.0,0.198734824160421
1580939093472,0,70,0.0,0.198734824160421
1580939093503,0,70,0.0,0.198734824160421
1580939093533,0,70,0.0,0.198734824160421
1580939093772,0,70,0.0,0.198734824160421
1580939094073,0,70,0.0,0.198734824160421
1580939094102,0,70,0.0,0.198734824160421
1580939094373,0,70,0.0,0.198734824160421
1580939094403,0,70,0.0,0.198734824160421
1580939094433,0,70,0.0,0.198734824160421
1580939094703,0,70,0.0,0.198734824160421
1580939094732,0,70,0.0,0.198734824160421
