Frame;time;X1;Y1;Z1;X2;Y2;Z2;X3;Y3;Z3
139;1.390000;-0.374815;0.148561;-0.221174;-0.210212;0.148926;-0.377976;0.110174;0.784130;0.116598
140;1.400000;-0.374164;0.148635;-0.220287;-0.209590;0.148902;-0.377345;0.111965;0.784331;0.118250
141;1.410000;-0.373513;0.148653;-0.219565;-0.208945;0.148860;-0.376614;0.113760;0.784519;0.119811
142;1.420000;-0.372922;0.148496;-0.218960;-0.208219;0.148815;-0.375872;0.115654;0.784816;0.121605
143;1.430000;-0.372306;0.148504;-0.218209;-0.207581;0.148804;-0.375139;0.117492;0.785088;0.123167
144;1.440000;-0.371673;0.148565;-0.217363;-0.206949;0.148837;-0.374392;0.119352;0.785349;0.124893
145;1.450000;-0.370979;0.148459;-0.216676;-0.206268;0.148875;-0.373566;0.121248;0.785621;0.126731
146;1.460000;-0.370207;0.148571;-0.215794;-0.205598;0.148887;-0.372765;0.123095;0.785931;0.128472
147;1.470000;-0.369497;0.148559;-0.214944;-0.204906;0.148792;-0.371932;0.124997;0.786352;0.130204
148;1.480000;-0.368771;0.148531;-0.214246;-0.204203;0.148765;-0.371184;0.126854;0.786885;0.131829
149;1.490000;-0.368082;0.148564;-0.213493;-0.203403;0.148769;-0.370403;0.128813;0.787515;0.133528
150;1.500000;-0.367280;0.148620;-0.212728;-0.202668;0.148760;-0.369703;0.130820;0.788238;0.135083
151;1.510000;-0.366458;0.148631;-0.211944;-0.201971;0.148838;-0.369069;0.132733;0.788934;0.136577
152;1.520000;-0.365799;0.148568;-0.211132;-0.201305;0.148801;-0.368321;0.134829;0.789580;0.138102
153;1.530000;-0.365158;0.148530;-0.210404;-0.200685;0.148761;-0.367568;0.137009;0.790218;0.139649
154;1.540000;-0.364514;0.148548;-0.209608;-0.199979;0.148726;-0.366703;0.139185;0.790978;0.141365
155;1.550000;-0.363812;0.148571;-0.208791;-0.199191;0.148755;-0.365894;0.141530;0.791603;0.143006
156;1.560000;-0.363159;0.148575;-0.208062;-0.198480;0.148785;-0.365163;0.143795;0.792163;0.144804
157;1.570000;-0.362516;0.148485;-0.207345;-0.197771;0.148728;-0.364151;0.146080;0.792542;0.146613
158;1.580000;-0.361680;0.148362;-0.206398;-0.197049;0.148765;-0.363434;0.148481;0.793016;0.148360
159;1.590000;-0.360899;0.148386;-0.205610;-0.196294;0.148726;-0.362626;0.150872;0.793447;0.149963
160;1.600000;-0.360053;0.148350;-0.204835;-0.195406;0.148760;-0.361787;0.153243;0.793865;0.151579
161;1.610000;-0.359175;0.148510;-0.204021;-0.194518;0.148755;-0.360851;0.155590;0.794062;0.153153
162;1.620000;-0.358499;0.148553;-0.203217;-0.193820;0.148782;-0.359922;0.157922;0.794291;0.154487
163;1.630000;-0.357780;0.148522;-0.202357;-0.193113;0.148826;-0.359215;0.160405;0.794417;0.155931
164;1.640000;-0.357109;0.148547;-0.201515;-0.192444;0.148865;-0.358383;0.162786;0.794526;0.157327
165;1.650000;-0.356268;0.148557;-0.200679;-0.191674;0.148807;-0.357457;0.165341;0.794585;0.158914
166;1.660000;-0.355438;0.148613;-0.199870;-0.190800;0.148789;-0.356565;0.167849;0.794675;0.160557
167;1.670000;-0.354686;0.148693;-0.199040;-0.189912;0.148773;-0.355681;0.170370;0.794749;0.162242
168;1.680000;-0.353979;0.148688;-0.198136;-0.189060;0.148697;-0.354597;0.172946;0.794760;0.164016
169;1.690000;-0.353173;0.148616;-0.197222;-0.188257;0.148687;-0.353597;0.175475;0.794800;0.165839
170;1.700000;-0.352315;0.148601;-0.196291;-0.187405;0.148703;-0.352604;0.178075;0.794781;0.167582
171;1.710000;-0.351251;0.148518;-0.195255;-0.186491;0.148788;-0.351610;0.180527;0.794743;0.169197
172;1.720000;-0.350426;0.148554;-0.194323;-0.185464;0.148697;-0.350395;0.183114;0.794674;0.170854
173;1.730000;-0.349464;0.148614;-0.193376;-0.184411;0.148820;-0.349728;0.185612;0.794622;0.172388
174;1.740000;-0.348626;0.148705;-0.192410;-0.183564;0.148769;-0.348739;0.188077;0.794602;0.173866
175;1.750000;-0.347730;0.148594;-0.191373;-0.182699;0.148759;-0.347676;0.190618;0.794553;0.175131
176;1.760000;-0.346767;0.148543;-0.190222;-0.181804;0.148739;-0.346743;0.193143;0.794444;0.176453
177;1.770000;-0.346032;0.148742;-0.189055;-0.180848;0.148790;-0.345631;0.195594;0.794294;0.177750
178;1.780000;-0.345103;0.148676;-0.188050;-0.179906;0.148792;-0.344581;0.198069;0.794126;0.179267
179;1.790000;-0.344015;0.148663;-0.187027;-0.178973;0.148659;-0.343470;0.200572;0.794025;0.180731
180;1.800000;-0.342893;0.148660;-0.186001;-0.177956;0.148664;-0.342409;0.203071;0.793857;0.182207
181;1.810000;-0.341803;0.148647;-0.184936;-0.176846;0.148695;-0.341338;0.205376;0.793883;0.183770
182;1.820000;-0.340873;0.148473;-0.183924;-0.175822;0.148718;-0.340205;0.207741;0.793879;0.185137
183;1.830000;-0.339958;0.148491;-0.182858;-0.174801;0.148748;-0.339057;0.210010;0.793869;0.186524
184;1.840000;-0.338989;0.148594;-0.181659;-0.173772;0.148875;-0.337921;0.212032;0.793993;0.187545
185;1.850000;-0.337950;0.148478;-0.180451;-0.172788;0.148679;-0.336724;0.214290;0.794008;0.188495
