Frame;time;X1;Y1;Z1;X2;Y2;Z2;X3;Y3;Z3
86;0.860000;-0.015075;0.793465;-0.005272;-0.262775;0.149632;-0.441185;-0.420204;0.149123;-0.276895
87;0.870000;-0.015159;0.793498;-0.005273;-0.262796;0.149603;-0.441177;-0.420200;0.149117;-0.276911
88;0.880000;-0.015235;0.793541;-0.005247;-0.262776;0.149640;-0.441182;-0.420157;0.149051;-0.276809
89;0.890000;-0.015344;0.793613;-0.005257;-0.262780;0.149629;-0.441196;-0.420164;0.149070;-0.276804
90;0.900000;-0.015425;0.793670;-0.005241;-0.262781;0.149619;-0.441183;-0.420204;0.149120;-0.276837
91;0.910000;-0.015531;0.793739;-0.005211;-0.262788;0.149630;-0.441188;-0.420192;0.149095;-0.276837
92;0.920000;-0.015627;0.793806;-0.005224;-0.262788;0.149629;-0.441169;-0.420181;0.149087;-0.276816
93;0.930000;-0.015676;0.793870;-0.005224;-0.262780;0.149624;-0.441187;-0.420186;0.149103;-0.276830
94;0.940000;-0.015760;0.793924;-0.005216;-0.262793;0.149627;-0.441189;-0.420221;0.149113;-0.276855
95;0.950000;-0.015845;0.793999;-0.005236;-0.262796;0.149632;-0.441185;-0.420156;0.149058;-0.276803
96;0.960000;-0.015944;0.794111;-0.005324;-0.262788;0.149618;-0.441179;-0.420156;0.149062;-0.276815
97;0.970000;-0.016002;0.794210;-0.005353;-0.262775;0.149635;-0.441193;-0.420150;0.149057;-0.276799
98;0.980000;-0.016027;0.794279;-0.005378;-0.262794;0.149616;-0.441172;-0.420149;0.149053;-0.276828
99;0.990000;-0.016057;0.794361;-0.005418;-0.262785;0.149627;-0.441185;-0.420157;0.149047;-0.276835
100;1.000000;-0.016106;0.794440;-0.005376;-0.262793;0.149604;-0.441174;-0.420165;0.149052;-0.276837
101;1.010000;-0.016098;0.794516;-0.005358;-0.262806;0.149616;-0.441190;-0.420192;0.149058;-0.276851
102;1.020000;-0.016103;0.794592;-0.005309;-0.262812;0.149607;-0.441197;-0.420177;0.149058;-0.276841
103;1.030000;-0.016099;0.794661;-0.005268;-0.262814;0.149605;-0.441197;-0.420240;0.149085;-0.276947
